ANT	 Experiment ID
80	 Subject
17-Apr-2019 16:01:39	 Run Time
2	nCongruency conditions (congruent = 1, incongruent = 2)
7	nCue conditions (1=no cue, 2 = fixation cue, 3-6=valid, 7 = invalid
2	 nRepsPerBlock
3	 nBlocks
60.019000	 FrameRate
6	 CueDur in frames
18	36	54	cue-target SOAs
thisBlock	trial	SOAidx	thisCue	thisCon	arrowDir	Resp	Acc	RT	fixation	lagFrames
1	1	1	V	1	R	R	1	 681.50	96	9
1	2	2	V	2	L	L	1	 718.44	96	27
1	3	2	I	2	L	L	1	 586.31	96	27
1	4	3	C	1	L	L	1	 710.41	96	45
1	5	2	I	1	L	L	1	 602.93	96	27
1	6	3	V	2	R	R	1	 439.39	96	45
1	7	3	I	2	R	R	1	 594.04	96	45
1	8	3	V	1	R	R	1	 622.83	24	45
1	9	1	V	2	L	L	1	 354.47	96	9
1	10	3	V	1	R	R	1	 551.95	24	45
1	11	2	V	1	L	L	1	 402.51	96	27
1	12	1	V	2	R	R	1	 614.35	96	9
1	13	1	V	2	R	R	1	 434.17	24	9
1	14	2	V	2	L	L	1	 472.88	96	27
1	15	2	N	1	L	L	1	 447.05	96	27
1	16	2	V	1	L	L	1	 636.11	24	27
1	17	1	I	1	R	R	1	 687.55	96	9
1	18	2	V	1	L	L	1	 524.71	96	27
1	19	1	V	1	L	L	1	 468.60	24	9
1	20	3	V	2	L	L	1	 485.48	96	45
1	21	3	V	1	R	R	1	 543.39	96	45
1	22	2	V	1	R	R	1	 609.66	24	27
1	23	3	V	1	L	L	1	 477.58	96	45
1	24	2	V	1	L	L	1	 596.67	96	27
1	25	3	V	1	R	R	1	 472.01	96	45
1	26	1	V	2	R	R	1	 457.49	24	9
1	27	1	C	1	L	L	1	 563.82	96	9
1	28	3	C	1	L	L	1	 634.03	96	45
1	29	2	V	2	R	R	1	 480.27	24	27
1	30	1	V	2	L	L	1	 449.14	96	9
1	31	1	V	2	R	R	1	 347.91	96	9
1	32	3	C	1	L	L	1	 441.55	24	45
1	33	1	N	1	L	L	1	 444.15	96	9
1	34	3	V	2	L	L	1	 447.30	24	45
1	35	1	N	2	R	R	1	 506.02	96	9
1	36	3	V	1	L	L	1	 562.84	96	45
1	37	1	V	2	L	L	1	 424.04	96	9
1	38	1	I	1	R	R	1	 539.83	96	9
1	39	2	V	2	L	L	1	 374.14	24	27
1	40	1	I	1	L	L	1	 626.81	96	9
1	41	2	V	2	R	R	1	 507.57	96	27
1	42	1	V	1	R	R	1	 540.01	96	9
1	43	3	N	2	L	L	1	 395.25	96	45
1	44	2	V	2	L	L	1	 434.74	24	27
1	45	1	V	2	L	L	1	 477.96	96	9
1	46	1	V	2	R	R	1	 495.12	24	9
1	47	3	V	1	L	L	1	 584.44	96	45
1	48	2	V	2	R	R	1	 432.61	96	27
1	49	1	C	1	L	L	1	 676.26	96	9
1	50	3	V	2	R	R	1	 381.77	96	45
1	51	2	C	1	R	L	0	 454.78	24	27
1	52	1	V	2	L	L	1	 529.15	96	9
1	53	1	V	1	L	L	1	 631.92	24	9
1	54	2	V	2	R	R	1	 558.68	24	27
1	55	1	N	2	R	R	1	 556.33	96	9
1	56	3	I	1	R	R	1	 699.94	96	45
1	57	3	V	1	R	R	1	 498.87	24	45
1	58	1	C	2	R	R	1	 523.22	24	9
1	59	1	V	2	L	L	1	 459.43	96	9
1	60	1	V	1	R	R	1	 493.80	96	9
1	61	2	V	1	R	R	1	 505.74	24	27
1	62	3	N	1	L	L	1	 499.25	96	45
1	63	1	V	1	L	L	1	 689.93	24	9
1	64	3	I	2	L	L	1	 531.31	96	45
1	65	2	V	1	R	R	1	 422.19	24	27
1	66	1	V	1	R	R	1	 538.32	96	9
1	67	2	V	2	R	R	1	 356.61	96	27
1	68	1	V	2	R	R	1	 538.49	24	9
1	69	3	C	2	R	R	1	 456.50	24	45
1	70	3	I	1	R	R	1	 634.86	24	45
1	71	3	V	1	R	R	1	 645.57	24	45
1	72	3	V	2	L	L	1	 536.69	24	45
1	73	2	V	2	R	R	1	 586.26	24	27
1	74	3	V	1	R	R	1	 560.36	24	45
1	75	1	I	2	R	R	1	 534.85	96	9
1	76	1	C	2	R	R	1	 508.57	96	9
1	77	1	C	1	R	R	1	 533.12	24	9
1	78	3	V	2	R	R	1	 380.12	96	45
1	79	2	V	1	L	L	1	 725.32	24	27
1	80	2	V	2	L	L	1	 592.93	96	27
1	81	3	N	1	R	R	1	 557.79	96	45
1	82	1	V	1	R	R	1	 667.66	96	9
1	83	1	I	1	L	L	1	 718.25	96	9
1	84	1	V	1	L	L	1	 764.46	24	9
1	85	2	I	2	L	L	1	 679.59	96	27
1	86	2	C	2	R	R	1	 499.70	96	27
1	87	2	N	2	R	R	1	 615.25	96	27
1	88	3	V	1	R	R	1	 610.79	24	45
1	89	3	V	1	R	R	1	 527.93	96	45
1	90	3	V	1	R	R	1	 647.32	96	45
1	91	1	V	1	R	R	1	 601.34	24	9
1	92	3	V	1	R	R	1	 645.35	24	45
1	93	2	C	2	R	R	1	 788.66	24	27
1	94	3	I	1	L	L	1	 993.62	96	45
1	95	2	V	1	R	R	1	 626.69	96	27
1	96	2	I	2	R	R	1	 602.31	96	27
1	97	3	V	2	L	L	1	 638.73	96	45
1	98	3	C	2	L	L	1	 706.42	96	45
1	99	3	C	2	L	L	1	 594.21	24	45
1	100	2	V	1	L	L	1	 642.55	24	27
1	101	2	V	2	R	R	1	 594.45	96	27
1	102	2	V	1	R	R	1	 538.95	96	27
1	103	3	N	2	L	L	1	 722.62	96	45
1	104	2	V	2	L	L	1	 606.50	96	27
1	105	1	V	2	R	R	1	 562.75	96	9
1	106	2	I	1	L	L	1	1133.16	96	27
1	107	2	I	1	R	R	1	 807.91	24	27
1	108	2	V	1	L	L	1	 696.06	96	27
