ANT	 Experiment ID
4	 Subject
07-Mar-2019 15:00:17	 Run Time
2	nCongruency conditions (congruent = 1, incongruent = 2)
7	nCue conditions (1=no cue, 2 = fixation cue, 3-6=valid, 7 = invalid
2	 nRepsPerBlock
3	 nBlocks
60.019068	 FrameRate
6	 CueDur in frames
18	36	54	cue-target SOAs
thisBlock	trial	SOAidx	thisCue	thisCon	arrowDir	Resp	Acc	RT	fixation	lagFrames
1	1	3	V	2	L	L	1	 738.93	96	45
1	2	3	V	1	L	L	1	 616.72	24	45
1	3	2	I	2	L	L	1	 535.35	24	27
1	4	2	V	2	R	R	1	 506.76	96	27
1	5	1	N	1	L	L	1	 697.70	96	9
1	6	3	V	1	R	R	1	 553.58	96	45
1	7	2	N	1	L	L	1	 547.54	24	27
1	8	1	V	1	R	R	1	 537.73	96	9
1	9	1	I	2	R	R	1	 535.85	24	9
1	10	3	V	2	R	R	1	 454.34	96	45
1	11	2	I	1	L	L	1	 653.14	24	27
1	12	3	V	1	R	R	1	 527.17	24	45
1	13	1	V	1	L	L	1	 558.29	96	9
1	14	2	N	1	R	R	1	 567.89	24	27
1	15	2	V	2	L	L	1	 353.30	96	27
1	16	1	C	1	R	R	1	 790.05	96	9
1	17	2	I	2	R	R	1	 526.61	96	27
1	18	1	V	1	L	L	1	 493.34	96	9
1	19	3	C	2	L	L	1	 526.57	96	45
1	20	3	C	2	L	L	1	 509.69	96	45
1	21	1	N	1	R	R	1	 588.87	96	9
1	22	1	N	2	L	L	1	 473.72	96	9
1	23	1	N	2	L	L	1	 434.59	24	9
1	24	2	V	2	R	R	1	 400.92	24	27
1	25	3	V	1	L	L	1	 493.05	96	45
1	26	1	V	1	R	R	1	 541.19	24	9
1	27	2	I	1	L	L	1	 567.67	96	27
1	28	3	V	1	R	L	0	 581.02	96	45
1	29	3	V	1	L	L	1	 618.41	24	45
1	30	2	C	2	L	L	1	 497.51	96	27
1	31	1	N	2	L	L	1	 489.33	96	9
1	32	1	V	1	R	R	1	 529.41	24	9
1	33	1	N	2	R	R	1	 456.95	24	9
1	34	1	N	1	L	L	1	 434.86	24	9
1	35	2	V	1	L	R	0	 401.23	24	27
1	36	2	V	2	R	R	1	 609.48	24	27
1	37	3	V	1	R	R	1	 605.94	96	45
1	38	2	V	1	L	L	1	 677.41	24	27
1	39	1	V	1	L	L	1	 615.19	24	9
1	40	1	V	2	L	L	1	 650.13	24	9
1	41	3	I	1	R	R	1	 764.37	96	45
1	42	2	I	2	R	R	1	 532.52	96	27
1	43	2	C	1	L	L	1	 559.32	24	27
1	44	3	N	2	L	L	1	 469.09	96	45
1	45	2	C	1	R	R	1	 554.47	96	27
1	46	1	V	2	L	L	1	 503.91	96	9
1	47	3	I	1	R	R	1	 599.58	96	45
1	48	1	V	1	L	L	1	 747.56	24	9
1	49	3	C	1	R	R	1	 553.74	96	45
1	50	3	V	1	R	R	1	 472.09	24	45
1	51	2	V	2	R	R	1	 461.39	96	27
1	52	2	V	2	L	L	1	 498.65	24	27
1	53	1	V	2	R	R	1	 450.73	96	9
1	54	1	C	1	R	R	1	 580.06	24	9
1	55	2	V	2	R	R	1	 428.63	24	27
1	56	3	N	1	R	R	1	 672.33	96	45
1	57	1	V	2	R	R	1	 538.32	24	9
1	58	3	I	2	L	L	1	 471.62	96	45
1	59	2	V	1	L	L	1	 525.22	24	27
1	60	2	V	2	R	R	1	 417.46	96	27
1	61	3	V	2	L	L	1	 452.81	24	45
1	62	3	V	2	L	L	1	 478.43	24	45
1	63	2	C	2	R	R	1	 555.11	96	27
1	64	3	C	1	L	L	1	 689.35	96	45
1	65	3	V	2	R	R	1	 473.68	96	45
1	66	2	V	2	L	L	1	 447.09	96	27
1	67	2	V	1	R	R	1	 573.27	24	27
1	68	2	V	2	R	R	1	 503.12	96	27
1	69	3	I	1	L	L	1	 574.29	96	45
1	70	1	I	1	L	L	1	 539.17	24	9
1	71	3	V	2	R	R	1	 394.60	24	45
1	72	2	V	2	L	L	1	 474.74	24	27
1	73	2	V	1	L	L	1	 536.64	24	27
1	74	2	C	2	L	L	1	 451.17	24	27
1	75	1	V	2	L	L	1	 389.43	24	9
1	76	1	C	2	L	L	1	 394.00	24	9
1	77	2	I	1	L	L	1	 553.62	96	27
1	78	2	C	2	R	R	1	 564.25	24	27
1	79	1	V	2	R	R	1	 648.64	24	9
1	80	3	I	2	L	Q	0	 610.80	96	45
1	81	1	V	1	R	R	1	1071.41	24	9
1	82	3	C	1	R	R	1	 664.66	96	45
1	83	1	I	1	R	R	1	 705.81	24	9
1	84	1	V	1	R	R	1	 489.94	24	9
1	85	1	C	1	R	R	1	 513.28	96	9
1	86	1	V	1	R	R	1	 497.12	96	9
1	87	1	I	1	R	R	1	 521.00	24	9
1	88	1	C	1	L	R	0	 358.72	24	9
1	89	3	V	1	L	Q	0	 549.95	24	45
1	90	1	C	2	L	Q	0	 514.80	96	9
1	91	1	V	2	R	R	1	 474.86	24	9
1	92	1	I	2	L	Q	0	 507.70	24	9
1	93	3	I	1	R	R	1	 619.91	24	45
1	94	1	V	2	R	R	1	 398.65	96	9
1	95	3	V	1	R	R	1	 754.81	24	45
1	96	2	C	1	L	Q	0	 549.16	24	27
1	97	2	V	1	R	R	1	 518.99	96	27
1	98	1	V	2	L	Q	0	 486.42	24	9
1	99	3	V	1	R	R	1	 439.47	24	45
1	100	2	V	1	R	R	1	 678.37	24	27
1	101	2	N	2	R	R	1	 458.75	96	27
1	102	3	N	2	R	R	1	 508.78	96	45
1	103	3	N	2	L	Q	0	 460.71	24	45
1	104	2	V	2	R	R	1	 465.87	24	27
1	105	3	V	2	R	R	1	 508.06	24	45
1	106	3	V	2	L	Q	0	 476.29	24	45
1	107	3	V	2	L	Q	0	 461.03	24	45
1	108	2	N	2	R	R	1	 531.94	24	27
1	109	3	N	1	L	R	0	 618.50	96	45
1	110	3	V	1	R	R	1	 501.29	96	45
1	111	3	V	2	L	Q	0	 468.90	24	45
1	112	3	V	2	R	R	1	 446.67	24	45
1	113	1	V	2	L	Q	0	 624.72	96	9
1	114	2	V	1	R	R	1	 750.96	96	27
1	115	2	V	1	L	Q	0	 713.98	24	27
1	116	1	V	2	R	R	1	 439.90	96	9
1	117	1	I	2	R	R	1	 441.98	96	9
1	118	2	C	1	L	Q	0	 713.81	96	27
1	119	1	V	2	L	Q	0	 440.01	96	9
1	120	1	V	1	R	R	1	 577.83	24	9
1	121	1	I	1	R	Q	0	 344.42	24	9
1	122	3	V	1	R	R	1	 527.29	96	45
